Participant number,Country of Employment,Age,Type of workplace,Years of experience working with PWA,Hrs/week spent treating PWA,Frequency of seeing clients with aphasia,AverClient's age % of clients that have access to SLT services in their hometown,Are you generally open to using aphasia therapy apps with your clients?,To what extent do you feel that therapy apps can contribute to reaching therapy goals for people with aphasia?,For how many of your clients do you use  therapy apps as part of the aphasia therapy?,Do you feel that your employer / clinic would be willing to invest in aphasia therapy apps?,Which factors influence your decision to use aphasia therapy apps?,How often do people with aphasia use smartphones / tablets?,How often should an SLT be physically present while the client is using a therapy app?,How often do you think a person with aphasia is able to practice therapy material independently using a therapy app?,Which user data would you want to have access to while your client is using a therapy app?,Facilitators listed,Barriers listed
50,AU,26,Rehabilitation centre,4,10,More than three times per week,100,Definitely,A little,Some of my clients,Yes,"Severity of the impairment,Cognitive status of the client,Type of impairment (e.g. semantic, phonological output),Computer literacy of client,Availability of a device (e.g. tablet),Availability of suitable app,Availability of carer to support app use at home,Client's interest in apps",Daily,Most of the time,Daily,"The amount of time that the app is used,Cues that the client needs to give an answer,Which exercises the client finishes,The number of errors,The type of errors","The user should be able to practice different language skills beyond the single word level (e.g. sentence or discourse level), The app should be easy to use and accessible",Potential difficulty using iPads / tablets among PWA (due to age or computer illiteracy)
51,AU,34,Community,10,5,Less than once a week,76,Definitely,A little,Some of my clients,Yes,"Client's age,Computer literacy of client,Availability of a device (e.g. tablet),Availability of suitable app,Client's interest in apps",Daily,Every now and then,Daily,"Cues that the client needs to give an answer,The number of errors,The type of errors,Audio recordings of the client's input","The therapist should be able to adjust difficulty and type of exercises as needed and as their client user improves, Exercises should offer a range of cueing possibilities","Clients may not own a tablet / iPad, High costs of tablet and app (for client and / or health provider), Apps may not be helpful in terms of improving functional communication (i.e. too impairment-specific)"
52,AU,47,Hospital,23,1,Once a week,88,Definitely,Quite a bit,(Nearly) all of my clients,Yes,"Severity of the impairment,Cognitive status of the client,Availability of suitable app,Availability of carer to support app use at home,Client's interest in apps",Multiple times per day,Most of the time,Several times per day,"The amount of time that the app is used,Cues that the client needs to give an answer,Which exercises the client finishes,The number of errors,The type of errors,Audio recordings of the client's input","The app should use clear, modern, visually attractive images or videos, The app should keep track of the user’s performance (e.g. accuracy, types of mistakes, time spent on app, voice recordings of the user’s response), The app should be cheap or free, The app can be used independently as an addition to regular therapy, The app should be suitable for mild and more severe cases of aphasia",High costs of tablet and app (for client and / or health provider)
53,AU,45,Hospital,10+,15,2-3 times a week,76,A little,A little,Some of my clients,Yes,"Severity of the impairment,Cognitive status of the client,Type of impairment (e.g. semantic, phonological output),Availability of suitable app,Client's interest in apps",Daily,Most of the time,Daily,"Cues that the client needs to give an answer,The number of errors,The type of errors","The therapist should be able to adjust difficulty and type of exercises as needed and as their client user improves, The app should use clear, modern, visually attractive images or videos, The app should keep track of the user’s performance (e.g. accuracy, types of mistakes, time spent on app, voice recordings of the user’s response)","Clients may not own a tablet / iPad, Requiring access to a Wifi connection"
54,AU,31,Hospital,3,10,More than three times per week,76,Definitely,A lot,Most of my clients,No,"Severity of the impairment,Cognitive status of the client,Client's age,Type of impairment (e.g. semantic, phonological output),Computer literacy of client,Availability of a device (e.g. tablet),Availability of suitable app,Availability of carer to support app use at home,Client's interest in apps",Daily,Most of the time,More than three times a week,"The amount of time that the app is used,Cues that the client needs to give an answer,Which exercises the client finishes,The number of errors,The type of errors","The user should be able to practice different language skills beyond the single word level (e.g. sentence or discourse level), There should be many different items available in the app, Exercises should offer a range of cueing possibilities, The app should have few visual distractions, The app should have a large and aphasia-friendly font, The app should contain photos rather than line drawings",The functionality of buttons and menus and the content of images may be unclear to the client
55,AU,23,Community,2,3,Once a week,77,Definitely,Quite a bit,(Nearly) all of my clients,Yes,"Severity of the impairment,Availability of a device (e.g. tablet),Availability of suitable app,Client's interest in apps",Weekly,Most of the time,More than three times a week,"The amount of time that the app is used,Cues that the client needs to give an answer,Which exercises the client finishes,The type of errors",NA,NA
56,AU,35,Hospital,13,21,More than three times per week,56,Definitely,Quite a bit,Most of my clients,Yes,"Cognitive status of the client,Client's age,Computer literacy of client,Availability of suitable app,Availability of carer to support app use at home,Client's interest in apps",Daily,Most of the time,Daily,"Cues that the client needs to give an answer,Which exercises the client finishes,The number of errors,The type of errors","The user should be able to practice different language skills beyond the single word level (e.g. sentence or discourse level), The app should be easy to use and accessible, The app should be cheap or free","High costs of tablet and app (for client and / or health provider), Apps may not be helpful in terms of improving functional communication (i.e. too impairment-specific), Requiring access to a Wifi connection"
57,AU,57,Community,35,20,Once a week,85,Quite a bit,A little,Some of my clients,Yes,"Availability of a device (e.g. tablet),Availability of suitable app",Daily,Every now and then,Daily,"The amount of time that the app is used,Cues that the client needs to give an answer,Which exercises the client finishes,The number of errors,The type of errors","There should be many different items available in the app, The app should be easy to use and accessible","Clients may not own a tablet / iPad, High costs of tablet and app (for client and / or health provider)"
58,AU,36,Rehabilitation centre,6,16,Once a week,100,Definitely,A lot,Some of my clients,Yes,"Severity of the impairment,Cognitive status of the client,Client's age,Type of impairment (e.g. semantic, phonological output),Computer literacy of client,Availability of a device (e.g. tablet),Availability of suitable app,Availability of carer to support app use at home,Client's interest in apps",Weekly,Most of the time,Daily,"The amount of time that the app is used,Cues that the client needs to give an answer,Which exercises the client finishes,The number of errors,The type of errors,Audio recordings of the client's input","The user should be able to practice different language skills beyond the single word level (e.g. sentence or discourse level), The difficulty of the therapy material should change automatically based on the user’s performance, The app should have clear and short instructions, The app should keep track of the user’s performance (e.g. accuracy, types of mistakes, time spent on app, voice recordings of the user’s response), The app can be used independently as an addition to regular therapy, The app should be suitable for mild and more severe cases of aphasia","Potential difficulty using iPads / tablets among PWA (due to age or computer illiteracy), Creating and / or maintaining motivation for app use among clients, Clients may not have someone (e.g. a partner) available who can help them when they run into app-related problems at home"
59,AU,29,Rehabilitation centre,5,20,More than three times per week,100,Quite a bit,A lot,(Nearly) all of my clients,My employer would only be interested in free apps,"Severity of the impairment,Cognitive status of the client,Type of impairment (e.g. semantic, phonological output),Computer literacy of client,Availability of suitable app,Client's interest in apps",Weekly,Most of the time,More than three times a week,"Which exercises the client finishes,The number of errors",NA,NA
60,AU,30,Community,4,1,Once a week,85,Definitely,Quite a bit,Most of my clients,Yes,"Severity of the impairment,Cognitive status of the client,Computer literacy of client,Availability of a device (e.g. tablet),Availability of suitable app,Availability of carer to support app use at home",Weekly,Every now and then,Daily,"The amount of time that the app is used,Cues that the client needs to give an answer,Which exercises the client finishes,The number of errors,The type of errors,Audio recordings of the client's input","The therapist should be able to adjust difficulty and type of exercises as needed and as their client user improves, The app should be easy to use and accessible, The app should keep track of the user’s performance (e.g. accuracy, types of mistakes, time spent on app, voice recordings of the user’s response), The app should be cheap or free","High costs of tablet and app (for client and / or health provider), Clients may not have someone (e.g. a partner) available who can help them when they run into app-related problems at home, Apps may not be helpful in terms of improving functional communication (i.e. too impairment-specific)"
61,AU,53,A private SLT practice,32,6,Once a week,88,Definitely,A lot,Some of my clients,Yes,"Cognitive status of the client,Type of impairment (e.g. semantic, phonological output),Availability of a device (e.g. tablet),Availability of suitable app,Availability of carer to support app use at home,Client's interest in apps",Daily,Every now and then,Daily,"The amount of time that the app is used,Cues that the client needs to give an answer,Which exercises the client finishes,The number of errors,The type of errors,Audio recordings of the client's input","There should be many different items available in the app, The app should be easy to use and accessible, The voice used for the auditory instructions should be pleasant to listen to and should sound natural and have a location-appropriate accent, The app should contain photos rather than line drawings, The app should keep track of the user’s performance (e.g. accuracy, types of mistakes, time spent on app, voice recordings of the user’s response), The therapist should be able to upload content to app in order to personalise the treatment for their client, The app can be used independently as an addition to regular therapy","Clients may not own a tablet / iPad, Creating and / or maintaining motivation for app use among clients"
62,AU,53,A private SLT practice,4,15,Once a week,90,Quite a bit,Quite a bit,Most of my clients,My employer would only be interested in free apps,"Severity of the impairment,Cognitive status of the client,Availability of a device (e.g. tablet),Availability of suitable app,Client's interest in apps",Daily,Every now and then,Daily,"Cues that the client needs to give an answer,The number of errors,The type of errors",The therapist should be able to select items that will be included in treatment,Clients may not own a tablet / iPad
63,AU,26,Hospital,1,15,2-3 times a week,100,Definitely,Quite a bit,Some of my clients,My employer would only be interested in free apps,"Severity of the impairment,Cognitive status of the client,Client's age,Type of impairment (e.g. semantic, phonological output),Computer literacy of client,Availability of a device (e.g. tablet),Availability of suitable app,Availability of carer to support app use at home,Client's interest in apps",Multiple times per day,Every now and then,Daily,"The amount of time that the app is used,Cues that the client needs to give an answer","The app should be easy to use and accessible, The app should use clear, modern, visually attractive images or videos, The voice used for the auditory instructions should be pleasant to listen to and should sound natural and have a location-appropriate accent, The therapist should be able to upload content to app in order to personalise the treatment for their client","High costs of tablet and app (for client and / or health provider), Cognitive problems may make independent app use difficult for clients, Client’s (fine) motor skills may not be sufficient"
64,AU,40,Hospital,16,NA,More than three times per week,100,Definitely,Quite a bit,Most of my clients,Yes,"Severity of the impairment,Cognitive status of the client,Type of impairment (e.g. semantic, phonological output),Availability of suitable app,Client's interest in apps",Weekly,Most of the time,Daily,"The amount of time that the app is used,Cues that the client needs to give an answer,Which exercises the client finishes,The number of errors,The type of errors,Audio recordings of the client's input",NA,"Clients may not own a tablet / iPad, High costs of tablet and app (for client and / or health provider), Clients may not understand the app when they use it independently outside of therapy"
