Date declaration of state of emergency,Extension,Date of Report on derogation of human rights to Human Rights Committee,Date lifting state of emergency,Duration (days),Country,Derogation ICCPR Article 8.3,Derogation ICCPR Article 9.2,Derogation ICCPR Article 9.3,Derogation ICCPR Article 10,Derogation ICCPR Article 12.1,Derogation ICCPR Article 12.2,Derogation ICCPR Article 13,Derogation ICCPR Article 14,Derogation ICCPR Article 17.1,Derogation ICCPR Article 17.2,Derogation ICCPR Article 19.1,Derogation ICCPR Article 19.2,Derogation ICCPR Article 20,Derogation ICCPR Article 21,Derogation ICCPR Article 22.1,Derogation ICCPR Article 22.2,Derogation ICCPR Article 23,Derogation ICCPR Article 24,Derogation ICCPR Article 25,Derogation ICCPR Article 26,Derogation ICCPR Article 27,Source,Declaratory organ,Declaratory person,Region,Trigger,Legal background,News sources,National/subnational,Details,Duration and other limitations of SoE according to consitution or other law,,,,,,,,,,,,,,,,
26/03/2014,Yes,02/04/2014,25/05/2015,60,Peru,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,"Depositary Notification of Supreme Decree No. 020-2014-PCM, C.N.204.2014.TREATIES-IV.4",President,Ollanta Humala Tasso,"Provinces of Huanta and La Mar, department of Ayacucho; the province of Tayacaja, department of Huancavelica; Kimbiri, Pichari and Vilcabamba districts of the province of La Convención, department of Cusco; the province of Satipo; Andamarca and Comas districts of the province of Concepción, and Santo Domingo de Acobamba and Pariahuanca districts of the province of Huancayo, department of Junín.",Man-made disaster,Constitution,N/A,sub-national,"The situation of illicit drug trafficking and illegal cultivation of coca, the main occupation of the population, has remained. This necessitated an extension of the state of emergency decree according to the government. ","The Constitution of Peru of 1993 states in Art. 137 that a state of emergency may not exceed 60 days, while extention is possible. A state of siege may not be longer than 45 days, with necessary Congress approval for extension as stipulated in art. 137 of Constitution. (http://www.wipo.int/wipolex/en/details.jsp?id=6544) ",,,,,,,,,,,,,,,,
31/01/2014,Yes,28/01/2014,01/04/2014,60,Peru,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,"Depositary Notification of Supreme Decree No. 007-2014-PCM, C.N.55.2014.TREATIES-IV.4",President,Ollanta Humala Tasso,"Echarate district of the province of La Convención, department of Cusco.",Man-made disaster,Constitution,N/A,sub-national,"Continuation of police and military efforts to restrain the remnants of Shining Path rebels in the VRAE region, where the rebels have become involved in coca production.","The Constitution of Peru of 1993 states in Art. 137 that a state of emergency may not exceed 60 days, while extention is possible. A state of siege may not be longer than 45 days, with necessary Congress approval for extension as stipulated in art. 137 of Constitution. (http://www.wipo.int/wipolex/en/details.jsp?id=6544) ",,,,,,,,,,,,,,,,
25/01/2014,Yes,28/01/2014,26/03/2014,60,Peru,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,"Depositary Notification of Supreme Decree No. 008-2014-PCM, C.N.56.2014.TREATIES-IV.4 ",President,Ollanta Humala Tasso,"Provinces of Huanta and La Mar, department of Ayacucho; the province of Tayacaja, department of Huancavelica; Kimbiri, Pichari and Vilcabamba districts of the province of La Convención, department of Cusco; the province of Satipo; Andamarca and Comas districts of the province of Concepción, and Santo Domingo de Acobamba and Pariahuanca districts of the province of Huancayo, department of Junín.",Man-made disaster,Constitution,N/A,sub-national,"The situation of illicit drug trafficking and illegal cultivation of coca, the main occupation of the population, has remained. This necessitated an extension of the state of emergency decree according to the government. ","The Constitution of Peru of 1993 states in Art. 137 that a state of emergency may not exceed 60 days, while extention is possible. A state of siege may not be longer than 45 days, with necessary Congress approval for extension as stipulated in art. 137 of Constitution. (http://www.wipo.int/wipolex/en/details.jsp?id=6544) ",,,,,,,,,,,,,,,,
22/01/2014,No,28/01/2014,19/03/2014,56,Thailand,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,"Depositary Notification of the Emergency Decree on Public Administration B.E. 2557 (2014), C.N.49.2014.TREATIES-IV.4, state of emergency is lifted by C.N.121.2014.TREATIES-IV.4",Prime Minister,Yingluck Shinawatra,"Bangkok; Nonthaburi Province; Lad Lumkaew District, Pathumthani Province; and Bang Phli District, Samut Prakan Province.",Man-made disaster,Constitution,http://www.bbc.com/news/world-asia-26613069,sub-national,"Protesters are demanding Prime Minister Yingluck Shinawatra to resign. According to the government, they have been continuously causing disturbing incidents with the purpose of causing damages and danger to life, body and property. This situation affects public order, state security, as well as the electoral process and the democratic development, and the exercise of rights and liberties of innocent people. Therefore, the government has invoked the Emergency Decree to put an end to the situation of turmoil as well as to restore normalcy in the country. After lifting the state of emergency, the Internal Security Act has been used until 30-4-2014 to maintain order. ","The Consitution of Thailand of 2007 states in Art. 184 that the King may proclaim a state of emergency,  but that this proclamation will only come in effect when the council of ministers consents to it. Further elaboration is found in Articles 185 and 186.  (http://www.wipo.int/wipolex/en/details.jsp?id=6694) Although in those articles no limitations are specified, in the Emergency Decree on Public Administration in Emergency Situation, B.E. 2548 (2005), section 5 clearly states that a declaration may not exceed 3 months, and its extension upon approval of the council of ministers may not exceed 3 months either. ",,,,,,,,,,,,,,,,
30/12/2013,Yes,02/04/2014,27/02/2014,60,Peru,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,"Despositary Notifications of Supreme Decree 134-2013-PCM and 017-2014-PCM, C.N.203.2014.TREATIES-IV.4",President,Ollanta Humala Tasso,"Cholón district of the province of Marañón, the Monzón district of the province of Huamalies and the province of Leoncio Prado, all located in the department of Huánuco; the province of Tocache, department of San Martin; and the province of Padre Abad, department of Ucayali. ",Man-made disaster,Constitution,N/A,sub-national,"According to the government, the continued movement of remnants of the Shining Path terrorist organization in the Huallaga Valley, divided into terrorist columns in various rural areas together with the problem of illicit drug trafficking, constitute a situation that necessitates a state of emergency declaration to enable the national police to better maintain order. ","The Constitution of Peru of 1993 states in Art. 137 that a state of emergency may not exceed 60 days, while extention is possible. A state of siege may not be longer than 45 days, with necessary Congress approval for extension as stipulated in art. 137 of Constitution. (http://www.wipo.int/wipolex/en/details.jsp?id=6544) ",,,,,,,,,,,,,,,,
02/12/2013,Yes,05/12/2013,31/01/2014,60,Peru,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,"Depositary Notification of Supreme Decree No. 121-2013-PCM, C.N.1027.2013.TREATIES-IV.4",President,Ollanta Humala Tasso,"Echarate district of the province of La Convención, department of Cusco.",Man-made disaster,Constitution,N/A,sub-national,"Continuation of police and military efforts to restrain the remnants of Shining Path rebels in the VRAE region, where the rebels have become involved in coca production.","The Constitution of Peru of 1993 states in Art. 137 that a state of emergency may not exceed 60 days, while extention is possible. A state of siege may not be longer than 45 days, with necessary Congress approval for extension as stipulated in art. 137 of Constitution. (http://www.wipo.int/wipolex/en/details.jsp?id=6544) ",,,,,,,,,,,,,,,,
26/11/2013,Yes,05/12/2013,25/01/2014,60,Peru,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,"Depositary Notification of Supreme Decree No. 122-2013-PCM, C.N.1028.2013.TREATIES-IV.4
",President,Ollanta Humala Tasso,"Provinces of Huanta and La Mar, department of Ayacucho; the province of Tayacaja, department of Huancavelica; Kimbiri, Pichari and Vilcabamba districts of the province of La Convención, department of Cusco; the province of Satipo; Andamarca and Comas districts of the province of Concepción, and Santo Domingo de Acobamba and Pariahuanca districts of the province of Huancayo, department of Junín.",Man-made disaster,Constitution,N/A,sub-national,"The situation of illicit drug trafficking and illegal cultivation of coca, the main occupation of the population, has remained. This necessitated an extension of the state of emergency decree according to the government. ","The Constitution of Peru of 1993 states in Art. 137 that a state of emergency may not exceed 60 days, while extention is possible. A state of siege may not be longer than 45 days, with necessary Congress approval for extension as stipulated in art. 137 of Constitution. (http://www.wipo.int/wipolex/en/details.jsp?id=6544) ",,,,,,,,,,,,,,,,
03/10/2013,Yes,11/10/2013,02/12/2013,60,Peru,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,"Depositary Notification of Supreme Decree No. 109-2013-PCM, C.N.879.2013.TREATIES-IV.4",President,Ollanta Humala Tasso,"Echarate district of the province of La Convención, department of Cusco.",Man-made disaster,Constitution,N/A,sub-national,"Continuation of police and military efforts to restrain the remnants of Shining Path rebels in the VRAE region, where the rebels have become involved in coca production.","The Constitution of Peru of 1993 states in Art. 137 that a state of emergency may not exceed 60 days, while extention is possible. A state of siege may not be longer than 45 days, with necessary Congress approval for extension as stipulated in art. 137 of Constitution. (http://www.wipo.int/wipolex/en/details.jsp?id=6544) ",,,,,,,,,,,,,,,,
27/09/2013,Yes,11/10/2013,26/11/2013,60,Peru,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,"Depositary Notification of Supreme Decree No. 110-2013-PCM, C.N.880.2013.TREATIES-IV.4",President,Ollanta Humala Tasso,"Provinces of Huanta and La Mar, department of Ayacucho; the province of Tayacaja, department of Huancavelica; Kimbiri, Pichari and Vilcabamba districts of the province of La Convención, department of Cusco; the province of Satipo; Andamarca and Comas districts of the province of Concepción, and Santo Domingo de Acobamba and Pariahuanca districts of the province of Huancayo, department of Junín.",Man-made disaster,Constitution,N/A,sub-national,"The situation of illicit drug trafficking and illegal cultivation of coca, the main occupation of the population, has remained. This necessitated an extension of the state of emergency decree according to the government. ","The Constitution of Peru of 1993 states in Art. 137 that a state of emergency may not exceed 60 days, while extention is possible. A state of siege may not be longer than 45 days, with necessary Congress approval for extension as stipulated in art. 137 of Constitution. (http://www.wipo.int/wipolex/en/details.jsp?id=6544) ",,,,,,,,,,,,,,,,
01/09/2013,Yes,11/10/2013,31/10/2013,60,Peru,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,"Depositary Notification of Supreme Decree No. 099-2013-PCM, C.N.878.2013.TREATIES-IV.4",President,Ollanta Humala Tasso,"Cholón district of the province of Marañón, the Monzón district of the province of Huamalies and the province of Leoncio Prado, all located in the department of Huánuco; the province of Tocache, department of San Martin; and the province of Padre Abad, department of Ucayali. ",Man-made disaster,Constitution,N/A,sub-national,"According to the government, the continued movement of remnants of the Shining Path terrorist organization in the Huallaga Valley, divided into terrorist columns in various rural areas together with the problem of illicit drug trafficking, constitute a situation that necessitates a state of emergency declaration to enable the national police to better maintain order. ","The Constitution of Peru of 1993 states in Art. 137 that a state of emergency may not exceed 60 days, while extention is possible. A state of siege may not be longer than 45 days, with necessary Congress approval for extension as stipulated in art. 137 of Constitution. (http://www.wipo.int/wipolex/en/details.jsp?id=6544) ",,,,,,,,,,,,,,,,
04/08/2013,Yes,31/07/2013,03/10/2013,60,Peru,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,"Depositary Notification of Supreme Decree No. 086-2013-PCM, C.N.566.2013.TREATIES-IV.4",President,Ollanta Humala Tasso,"Echarate district of the province of La Convención, department of Cusco.",Man-made disaster,Constitution,N/A,sub-national,"Continuation of police and military efforts to restrain the remnants of Shining Path rebels in the VRAE region, where the rebels have become involved in coca production.","The Constitution of Peru of 1993 states in Art. 137 that a state of emergency may not exceed 60 days, while extention is possible. A state of siege may not be longer than 45 days, with necessary Congress approval for extension as stipulated in art. 137 of Constitution. (http://www.wipo.int/wipolex/en/details.jsp?id=6544) ",,,,,,,,,,,,,,,,
29/07/2013,Yes,31/07/2013,27/09/2013,60,Peru,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,"Depositary Notification of Supreme Decree No. 085-2013-PCM,  C.N.565.2013.TREATIES-IV.4",President,Ollanta Humala Tasso,"Provinces of Huanta and La Mar, department of Ayacucho; the province of Tayacaja, department of Huancavelica; Kimbiri, Pichari and Vilcabamba districts of the province of La Convención, department of Cusco; the province of Satipo; Andamarca and Comas districts of the province of Concepción, and Santo Domingo de Acobamba and Pariahuanca districts of the province of Huancayo, department of Junín.",Man-made disaster,Constitution,N/A,sub-national,"The situation of illicit drug trafficking and illegal cultivation of coca, the main occupation of the population, has remained. This necessitated an extension of the state of emergency decree according to the government. ","The Constitution of Peru of 1993 states in Art. 137 that a state of emergency may not exceed 60 days, while extention is possible. A state of siege may not be longer than 45 days, with necessary Congress approval for extension as stipulated in art. 137 of Constitution. (http://www.wipo.int/wipolex/en/details.jsp?id=6544) ",,,,,,,,,,,,,,,,
05/06/2013,Yes,30/05/2013,04/08/2013,60,Peru,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,"Depositary Notification of Supreme Decree No. 059-2013-PCM, C.N.389.2013.TREATIES-IV.4",President,Ollanta Humala Tasso,"Echarate district of the province of La Convención, department of Cusco.",Man-made disaster,Constitution,N/A,sub-national,"Continuation of police and military efforts to restrain the remnants of Shining Path rebels in the VRAE region, where the rebels have become involved in coca production.","The Constitution of Peru of 1993 states in Art. 137 that a state of emergency may not exceed 60 days, while extention is possible. A state of siege may not be longer than 45 days, with necessary Congress approval for extension as stipulated in art. 137 of Constitution. (http://www.wipo.int/wipolex/en/details.jsp?id=6544) ",,,,,,,,,,,,,,,,
30/05/2013,Yes,30/05/2013,29/07/2013,60,Peru,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,"Depositary Notification of Supreme Decree No. 058-2013-PCM, C.N.388.2013.TREATIES-IV.4",President,Ollanta Humala Tasso,"Provinces of Huanta and La Mar, department of Ayacucho; the province of Tayacaja, department of Huancavelica; Kimbiri, Pichari and
Vilcabamba districts of the province of La Convención, department of Cusco; the province of Satipo; Andamarca and Comas districts of the province of
Concepción, and Santo Domingo de Acobamba and Pariahuanca districts of the province of Huancayo, department of Junín.",Man-made disaster,Constitution,N/A,sub-national,"The situation of illicit drug trafficking and illegal cultivation of coca, the main occupation of the population, has remained. This necessitated an extension of the state of emergency decree according to the government. ","The Constitution of Peru of 1993 states in Art. 137 that a state of emergency may not exceed 60 days, while extention is possible. A state of siege may not be longer than 45 days, with necessary Congress approval for extension as stipulated in art. 137 of Constitution. (http://www.wipo.int/wipolex/en/details.jsp?id=6544) ",,,,,,,,,,,,,,,,
05/05/2013,Yes,09/05/2013,04/07/2013,60,Peru,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,"Depositary Notification of Supreme Decree No. 049-2013-PCM, C.N.285.2013.TREATIES-IV.4 ",President,Ollanta Humala Tasso,"Cholón district of the province of Marañón, the Monzón district of the province of Huamalies and the province of Leoncio Prado, all located in the department of Huánuco; the province of Tocache, department of San Martin; and the province of Padre Abad, department of Ucayali. ",Man-made disaster,Constitution,N/A,sub-national,"According to the government, the continued movement of remnants of the Shining Path terrorist organization in the Huallaga Valley, divided into terrorist columns in various rural areas together with the problem of illicit drug trafficking, constitute a situation that necessitates a state of emergency declaration to enable the national police to better maintain order. ","The Constitution of Peru of 1993 states in Art. 137 that a state of emergency may not exceed 60 days, while extention is possible. A state of siege may not be longer than 45 days, with necessary Congress approval for extension as stipulated in art. 137 of Constitution. (http://www.wipo.int/wipolex/en/details.jsp?id=6544) ",,,,,,,,,,,,,,,,
06/04/2013,Yes,28/03/2013,05/06/2013,60,Peru,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,"Depositary Notification of Supreme Decree No. 029-2013-PCM, C.N.248.2013.TREATIES-IV.4",President,Ollanta Humala Tasso,"Echarate district of the province of La Convención, department of Cusco.",Man-made disaster,Constitution,N/A,sub-national,"Continuation of police and military efforts to restrain the remnants of Shining Path rebels in the VRAE region, where the rebels have become involved in coca production.","The Constitution of Peru of 1993 states in Art. 137 that a state of emergency may not exceed 60 days, while extention is possible. A state of siege may not be longer than 45 days, with necessary Congress approval for extension as stipulated in art. 137 of Constitution. (http://www.wipo.int/wipolex/en/details.jsp?id=6544) ",,,,,,,,,,,,,,,,
31/03/2013,Yes,28/03/2013,30/05/2013,60,Peru,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,"Depositary Notification of Supreme Decree No. 028-2013-PCM, C.N.246.2013.TREATIES-IV.4",President,Ollanta Humala Tasso,"Provinces of Huanta and La Mar, department of Ayacucho; the province of Tayacaja, department of Huancavelica; Kimbiri, Pichari and
Vilcabamba districts of the province of La Convención, department of Cusco; the province of Satipo; Andamarca and Comas districts of the province of
Concepción, and Santo Domingo de Acobamba and Pariahuanca districts of the province of Huancayo, department of Junín.",Man-made disaster,Constitution,N/A,sub-national,"The situation of illicit drug trafficking and illegal cultivation of coca, the main occupation of the population, has remained. This necessitated an extension of the state of emergency decree according to the government. ","The Constitution of Peru of 1993 states in Art. 137 that a state of emergency may not exceed 60 days, while extention is possible. A state of siege may not be longer than 45 days, with necessary Congress approval for extension as stipulated in art. 137 of Constitution. (http://www.wipo.int/wipolex/en/details.jsp?id=6544) ",,,,,,,,,,,,,,,,
06/03/2013,Yes,13/03/2013,05/05/2013,60,Peru,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,"Depositary Notification of Supreme Decree No. 022-2013-PCM, C.N.229.2013.TREATIES-IV.4 ",President,Ollanta Humala Tasso,"Cholón district of the province of Marañón, the Monzón district of the province of Huamalies and the province of Leoncio Prado, all located in the department of Huánuco; the province of Tocache, department of San Martin; and the province of Padre Abad, department of Ucayali. ",Man-made disaster,Constitution,N/A,sub-national,"According to the government, the continued movement of remnants of the Shining Path terrorist organization in the Huallaga Valley, divided into terrorist columns in various rural areas together with the problem of illicit drug trafficking, constitute a situation that necessitates a state of emergency declaration to enable the national police to better maintain order. ","The Constitution of Peru of 1993 states in Art. 137 that a state of emergency may not exceed 60 days, while extention is possible. A state of siege may not be longer than 45 days, with necessary Congress approval for extension as stipulated in art. 137 of Constitution. (http://www.wipo.int/wipolex/en/details.jsp?id=6544) ",,,,,,,,,,,,,,,,
05/02/2013,Yes,27/02/2013,07/03/2013,30,Guatemala,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Depositary Notification of Government Decree 2-2013, C.N.187.2013.TREATIES-IV.4",President,Otto Fernando Pérez Molina,"Departments of Retalhuleu, Quetzaltenango, Sololá, Quiché, Totonicapán, San Marcos, Huehuetenango and Suchitepéquez ",Natural disaster,Constitution,N/A,sub-national,"Due to the Earthquake of 7 november 2012, the area is still in a bad condition that necessitates an extension of the state of emergency","The Political Constitution of the Republic of Guatamala of 1993 states in Chapter IV, Art. 138, that a state of emergency may not be longer than 30 days, although extension is possible. (http://www.wipo.int/wipolex/en/details.jsp?id=7526) ",,,,,,,,,,,,,,,,
05/02/2013,Yes,13/03/2013,06/04/2013,60,Peru,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,"Depositary Notification of Supreme Decree No. 011-2013-PCM, C.N.221.2013.TREATIES-IV.4 ",President,Ollanta Humala Tasso,"Echarate district of the province of La Convención, department of Cusco.",Man-made disaster,Constitution,N/A,sub-national,"Continuation of police and military efforts to restrain the remnants of Shining Path rebels in the VRAE region, where the rebels have become involved in coca production.","The Constitution of Peru of 1993 states in Art. 137 that a state of emergency may not exceed 60 days, while extention is possible. A state of siege may not be longer than 45 days, with necessary Congress approval for extension as stipulated in art. 137 of Constitution. (http://www.wipo.int/wipolex/en/details.jsp?id=6544) ",,,,,,,,,,,,,,,,
30/01/2013,Yes,13/03/2012,31/03/2013,60,Peru,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,"Depositary Notification of Supreme Decree No. 010-2013-PCM, C.N.222.2013.TREATIES-IV.4",President,Ollanta Humala Tasso,"Provinces of Huanta and La Mar, department of Ayacucho; the province of Tayacaja, department of Huancavelica; Kimbiri, Pichari and",Man-made disaster,Constitution,N/A,sub-national,"The situation of illicit drug trafficking and illegal cultivation of coca, the main occupation of the population, has remained. This necessitated an extension of the state of emergency decree according to the government. ","The Constitution of Peru of 1993 states in Art. 137 that a state of emergency may not exceed 60 days, while extention is possible. A state of siege may not be longer than 45 days, with necessary Congress approval for extension as stipulated in art. 137 of",,,,,,,,,,,,,,,,
06/01/2013,Yes,15/01/2013,05/02/2012,30,Guatemala,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Depositary Notification of Government Decree 1-2013, C.N.151.2013.TREATIES-IV.4",President,Otto Fernando Pérez Molina,"Vilcabamba districts of the province of La Convención, department of Cusco; the province of Satipo; Andamarca and Comas districts of the province of",Natural disaster,Constitution,N/A,sub-national,"Due to the Earthquake of 7 november 2012, the area is still in a bad condition that necessitates an extension of the state of emergency","The Political Constitution of the Republic of Guatamala of 1993 states in Chapter IV, Art. 138, that a state of emergency may not be longer than 30 days, although extension is possible. (http://www.wipo.int/wipolex/en/details.jsp?id=7526) ",,,,,,,,,,,,,,,,
05/01/2013,Yes,23/01/2013,06/03/2013,60,Peru,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,"Depositary Notification of Supreme Decree No. 002-2013-PCM, C.N.153.2013.TREATIES-IV.4",President,Ollanta Humala Tasso,"Cholón district of the province of Marañón, the Monzón district of the province of Huamalíes and the province of Leoncio Prado, all located in the department of Huánuco; the province of Tocache, department of San Martín; and the province of Padre Abad, department of Ucayali. ",Man-made disaster,Constitution,N/A,sub-national,"According to the government, the continued movement of remnants of the Shining Path terrorist organization in the Huallaga Valley, divided into terrorist columns in various rural areas together with the problem of illicit drug trafficking, constitute a situation that necessitates a state of emergency declaration to enable the national police to better maintain order. ","The Constitution of Peru of 1993 states in Art. 137 that a state of emergency may not exceed 60 days, while extention is possible. A state of siege may not be longer than 45 days, with necessary Congress approval for extension as stipulated in art. 137 of Constitution. (http://www.wipo.int/wipolex/en/details.jsp?id=6544) ",,,,,,,,,,,,,,,,
07/12/2012,Yes,18/12/2012,06/01/2013,30,Guatemala,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Depositary Notification of Government Decree 5-2012, C.N.759.2012.TREATIES-IV.4",President,Otto Fernando Pérez Molina,"Departments of Retalhuleu, Quetzaltenango, Sololá, Quiché, Totonicapán, San Marcos, Huehuetenango and Suchitepéquez",Natural disaster,Constitution,N/A,sub-national,Situation caused by the Earthquake of 7 november 2012 persists,"The Political Constitution of the Republic of Guatamala of 1993 states in Chapter IV, Art. 138 that a state of emergency may not be longer than 30 days, although extension is possible. (http://www.wipo.int/wipolex/en/details.jsp?id=7526) ",,,,,,,,,,,,,,,,
07/12/2012,Yes,12/12/2012,05/02/2013,60,Peru,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,"Depositary Notification of Supreme Decree No. 116-2012-PCM, C.N.749.2012.TREATIES-IV.4",President,Ollanta Humala Tasso,"District of Echarate, province of La Convención, department of Cusco.",Man-made disaster,Constitution,N/A,sub-national,"Continuation of police and military efforts to restrain the remnants of Shining Path rebels in the VRAE region, where the rebels have become involved in coca production.","The Constitution of Peru of 1993 states in Art. 137 that a state of emergency may not exceed 60 days, while extention is possible. A state of siege may not be longer than 45 days, with necessary Congress approval for extension as stipulated in art. 137 of Constitution. (http://www.wipo.int/wipolex/en/details.jsp?id=6544) ",,,,,,,,,,,,,,,,
01/12/2012,Yes,12/12/2012,30/01/2013,60,Peru,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,"Depositary Notification of Supreme Decree No. 115-2012-PCM, C.N.760.2012.TREATIES-IV.4",President,Ollanta Humala Tasso,"Provinces of Huanta and La Mar, department of Ayacucho; in the province of Tayacaja, department of Huancavelica; in the districts of Kimbiri, Pichari and Vilcabamba, province of La Convención, department of Cusco; in the province of Satipo; in the districts of Andamarca and Comas, province of Concepción; and in the districts of Santo Domingo de Acobamba and Pariahuanca, province of Huancayo, department of Junín. ",Man-made disaster,Constitution,N/A,sub-national,"The situation of illicit drug trafficking and illegal cultivation of coca, the main occupation of the population, has remained. This necessitated an extension of the state of emergency decree according to the government. ","The Constitution of Peru of 1993 states in Art. 137 that a state of emergency may not exceed 60 days, while extention is possible. A state of siege may not be longer than 45 days, with necessary Congress approval for extension as stipulated in art. 137 of Constitution. (http://www.wipo.int/wipolex/en/details.jsp?id=6544) ",,,,,,,,,,,,,,,,
07/11/2012,No,23/11/2012,07/12/2013,30,Guatemala,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"Depositary Notification of Government Decree 3-2012, amended by Government Decree 4-2012, C.N.754.2012.TREATIES-IV.4",President,Otto Fernando Pérez Molina,"Vilcabamba districts of the province of La Convención, department of Cusco; the province of Satipo; Andamarca and Comas districts of the province of",Natural disaster,Constitution,"http://www.bbc.co.uk/news/world-latin-america-20256454, http://www.bbc.co.uk/news/world-latin-america-20243894",sub-national,"Earthquake of 7.4-magnitude on the scale of Richter, leaving at least 52 people dead and dozens missing. Landslides and collapsed building have made the area hard to access and many people are without electricity","The Political Constitution of the Republic of Guatamala of 1993 states in Chapter IV, Art. 138 that a state of emergency may not be longer than 30 days, although extension is possible. (http://www.wipo.int/wipolex/en/details.jsp?id=7526) ",,,,,,,,,,,,,,,,
06/11/2012,Yes,23/01/2013,05/01/2013,60,Peru,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,"Depositary Notification of Supreme Decree No. 108-2012-PCM, as found in C.N.153.2013.TREATIES-IV.4",President,Ollanta Humala Tasso,"Cholón district of the province of Marañón, the Monzón district of the province of Huamalíes and the province of Leoncio Prado, all located in the department of Huánuco; the province of Tocache, department of San Martín; and the province of Padre Abad, department of Ucayali. ",Man-made disaster,Constitution,N/A,sub-national,"According to the government, the continued movement of remnants of the Shining Path terrorist organization in the Huallaga Valley, divided into terrorist columns in various rural areas together with the problem of illicit drug trafficking, constitute a situation that necessitates a state of emergency declaration to enable the national police to better maintain order. ","The Constitution of Peru of 1993 states in Art. 137 that a state of emergency may not exceed 60 days, while extention is possible. A state of siege may not be longer than 45 days, with necessary Congress approval for extension as stipulated in art. 137 of Constitution. (http://www.wipo.int/wipolex/en/details.jsp?id=6544) ",,,,,,,,,,,,,,,,
